LIST KODE REPORT DAN QUERY DARI FrmReportPreview.pas - VERSI LENGKAP
================================================================

KodeReport		Nama Report					Query/Stored Procedure
------------------------------------------------------------
101			Master Perkiraan				Select * from vwPerkiraan a
10101			Master Aktiva Tetap			Select * from vwaktiva a
102			Master Neraca				select a.* from vwPerkiraan a
103			Master Laba Rugi			select a.* from vwLabaRugiHPP a where Bulan=:0 and Tahun=:1 and IsLRHPP=0
104			Master HPP				select a.* from vwLabaRugiHPP a where Bulan=:0 and Tahun=:1 and IsLRHPP=1
1101			Daftar Gudang				select a.* from VwGudang a
1104,1200		Daftar Kelompok Barang			select a.* from vwKelompok a
1105			Daftar Kategori Barang			select a.* from vwKategori a
1106			Daftar Sub Kategori Barang		select a.* from vwSubKategori a
1107			Daftar Jenis Barang			select a.* from vwjenis a
1108			Daftar Sub Jenis Barang		select a.* from vwSubjenis a
1110			Daftar Supplier				select a.* from vwBrowsSupp a
1298			Daftar Customer				select a.* from vwBrowsCust a
1304			Daftar Valas				select a.* from vwValas a where Month(A.Tanggal)=:0 and year(tanggal)=:1
20101			Laporan Kas Harian			exec Sp_LapSaldoAwal :0,:1,:2,:3
20102			Laporan Bank				Complex query with multiple joins and calculations
20103			Laporan Posisi Bank Kas Harian		exec Sp_LapPosisiBankKasHarian :0,:1
201061-201064		Laporan Deposito				exec Sp_LapDeposito :0,:1,:2,:3,:4
201071-201075		Laporan Giro Piutang			exec Sp_LapGiroPiutang :0,:1,:2,:3,:4,:5
201081-201085		Laporan Giro Hutang			exec Sp_LapGiroHutang :0,:1,:2,:3,:4
20109			Laporan Bon Sementara			exec sp_ReportBon :0,:1,:2,:3
2020101-2020110		Laporan Jurnal				exec Sp_LapJurnal :0,:1,:2,:3
20202			Laporan Buku Besar			exec SP_LapBKBesar :0,:1,:2,:3,:4
202021			Laporan Buku Tambahan			exec sp_ReportBukuTambahan :0,:1,:2,:3,:4,:5,:6
20203			Laporan Mutasi				exec Sp_ReportMutasi :0,:1,:2,:3
20204			Laporan Biaya				exec Sp_LapBiaya :0,:1,:2,:3,:4
202041			Laporan Biaya Tahunan			exec Sp_LapBiayaTahun :0,:1,:2,:3
20205			Laporan Aktiva Tetap			exec sp_LapAktiva :0,:1,:2
202051			Laporan Aktiva Tetap Tahunan		exec sp_LapAktivaTahunan :0,:1,:2,:3
202052			Laporan Aktiva Tetap Pajak		exec sp_LapAktivaPajak :0,:1,:2,:3
202053			Laporan Aktiva Tetap Pajak Kendaraan	exec sp_LapAktivaPajakKendaraan :0,:1,:2,:3
20104			Laporan Arus Kas			exec sp_LapArusKas :0,:1,:2,:3
20105			Laporan Arus Kas Periode		exec sp_LapArusKasPeriode :0,:1,:2,:3
20206			Laporan Biaya Penyusutan		exec sp_LapSusutAktiva :0,:1,:2
20301,20306		Kartu Hutang				exec Sp_ReportKartuHutang :0,:1,:2,:3,:4,:5,:6,:7,:8,:9
20302			Sisa Hutang				exec Sp_ReportSisaHutang :0,:1,:2,:3,:4,:5,:6
20303			Pelunasan Hutang			exec Sp_ReportPelunasanHutang :0,:1,:2,:3,:4,:5,:6,:7
20304			Saldo Hutang				exec Sp_ReportSaldoHutang :0,:1,:2,:3,:4,:5,:6,:7
20305,203050		Umur Hutang				exec sp_ReportUmurHutang :0,:1,:2,:3,:4,:5,:6
20401,20406		Kartu Piutang				exec Sp_ReportKartuPiutang :0,:1,:2,:3,:4,:5,:6,:7,:8,:9
20402			Sisa Piutang				exec Sp_ReportSisaPiutang :0,:1,:2,:3,:4,:5,:6
20403			Pelunasan Piutang			exec Sp_ReportPelunasanPiutang :0,:1,:2,:3,:4,:5,:6,:7
20404			Saldo Piutang				exec Sp_ReportSaldoHutang :0,:1,:2,:3,:4,:5,:6,:7
20405,20407		Umur Piutang				exec sp_ReportUmurPiutang :0,:1,:2,:3,:4,:5,:6
20501			Neraca Lajur				exec sp_NerajaLajur :0,:1,:2,:3,:4
20502,20505		Laporan Laba Rugi			exec sp_ReportLabaRugi :0,:1,:2,:3,:4,:5,:6
205021			Laporan Laba Rugi 2 Lajur		exec Sp_ReportLabaRugi2Lajur :0,:1,:2
20503			Laporan Neraca Aktiva			exec sp_ReportNeracaAktiva :0,:1,:2
205031			Laporan Neraca 2 Lajur			exec sp_ReportNeraca2Lajur :0,:1,:2
20504			Laporan Neraca Penunjang		exec sp_LapNeracaPenunjang :0,:1,:2
251010-251050		Laporan Pembelian			Select * from VwreportPembelian
252010-252050		Laporan Retur Beli			Select * from VwreportRBeli
